Wort,Schwierigkeit,Thema,Lernstatus,Beispielsatz
vorhersagen,schwer,Der Wetterbericht,neu,-,
die Wetterstation,schwer,Der Wetterbericht,neu,-,
die Temperatur,schwer,Der Wetterbericht,neu,-,
die Hitze,schwer,Der Wetterbericht,neu,-,
die Kälte,schwer,Der Wetterbericht,neu,-,
das Thermometer,schwer,Der Wetterbericht,neu,-,
fallen,schwer,Der Wetterbericht,neu,-,
ablesen,schwer,Der Wetterbericht,neu,-,
im Schatten,schwer,Der Wetterbericht,neu,-,
der Regenschauer,schwer,Der Wetterbericht,neu,-,
der Wolkenbruch,schwer,Der Wetterbericht,neu,-,
die Nässe,schwer,Der Wetterbericht,neu,-,
regnerisch,schwer,Der Wetterbericht,neu,-,
schwül,schwer,Der Wetterbericht,neu,-,
wolkig,schwer,Der Wetterbericht,neu,-,
bedeckt,schwer,Der Wetterbericht,neu,-,
bewölkt,schwer,Der Wetterbericht,neu,-,
neblig,schwer,Der Wetterbericht,neu,-,
das Glatteis,schwer,Der Wetterbericht,neu,-,
die Windstärke,schwer,Der Wetterbericht,neu,-,
die Windrichtung,schwer,Der Wetterbericht,neu,-,
der Orkan,schwer,Der Wetterbericht,neu,-,
der Wirbelsturm,schwer,Der Wetterbericht,neu,-,
der Sturmschaden,schwer,Der Wetterbericht,neu,-,
das Jahr,leicht,Die Jahreszeiten,neu,-,
der Frühling,leicht,Die Jahreszeiten,neu,-,
der Sommer,leicht,Die Jahreszeiten,neu,-,
baden gehen,leicht,Die Jahreszeiten,neu,-,
der Herbst,leicht,Die Jahreszeiten,neu,-,
der Winter,leicht,Die Jahreszeiten,neu,-,
Schlitten fahren,leicht,Die Jahreszeiten,neu,-,
wärmer werden,mittel,Die Jahreszeiten,neu,-,
die Bäume blühen,mittel,Die Jahreszeiten,neu,-,
Blumen pflücken,mittel,Die Jahreszeiten,neu,-,
die Vögel zwitschern,mittel,Die Jahreszeiten,neu,-,
Urlaub machen,mittel,Die Jahreszeiten,neu,-,
kälter werden,mittel,Die Jahreszeiten,neu,-,
Drachen steigen lassen,mittel,Die Jahreszeiten,neu,-,
Kastanien sammeln,mittel,Die Jahreszeiten,neu,-,
rodeln,mittel,Die Jahreszeiten,neu,-,
Schlittschuh laufen,mittel,Die Jahreszeiten,neu,-,
schlittern,mittel,Die Jahreszeiten,neu,-,
der Schneemann,mittel,Die Jahreszeiten,neu,-,
Schneeball werfen,mittel,Die Jahreszeiten,neu,-,
wieder,mittel,Die Jahreszeiten,neu,-,
der Kalender,schwer,Die Jahreszeiten,neu,-,
die Jahreszeit,schwer,Die Jahreszeiten,neu,-,
der Monat,schwer,Die Jahreszeiten,neu,-,
der Januar,schwer,Die Jahreszeiten,neu,-,
der Februar,schwer,Die Jahreszeiten,neu,-,
der März,schwer,Die Jahreszeiten,neu,-,
der April,schwer,Die Jahreszeiten,neu,-,
der Mai,schwer,Die Jahreszeiten,neu,-,
der Juni,schwer,Die Jahreszeiten,neu,-,
der Juli,schwer,Die Jahreszeiten,neu,-,
der August,schwer,Die Jahreszeiten,neu,-,
der September,schwer,Die Jahreszeiten,neu,-,
der Oktober,schwer,Die Jahreszeiten,neu,-,
der November,schwer,Die Jahreszeiten,neu,-,
der Dezember,schwer,Die Jahreszeiten,neu,-,
der Tag,leicht,Die Zeit,neu,-,
die Nacht,leicht,Die Zeit,neu,-,
der Morgen,leicht,Die Zeit,neu,-,
der Mittag,leicht,Die Zeit,neu,-,
der Abend,leicht,Die Zeit,neu,-,
früh,leicht,Die Zeit,neu,-,
spät,leicht,Die Zeit,neu,-,
dann,leicht,Die Zeit,neu,-,
da,leicht,Die Zeit,neu,-,
die Zeit,mittel,Die Zeit,neu,-,
die Uhr,mittel,Die Zeit,neu,-,
morgens,mittel,Die Zeit,neu,-,
aufstehen,mittel,Die Zeit,neu,-,
wach werden,mittel,Die Zeit,neu,-,
mittags,mittel,Die Zeit,neu,-,
abends,mittel,Die Zeit,neu,-,
nachts,mittel,Die Zeit,neu,-,
am Tag,mittel,Die Zeit,neu,-,
heute,mittel,Die Zeit,neu,-,
gestern,mittel,Die Zeit,neu,-,
morgen,mittel,Die Zeit,neu,-,
später,mittel,Die Zeit,neu,-,
früher,mittel,Die Zeit,neu,-,
sofort,mittel,Die Zeit,neu,-,
jetzt,mittel,Die Zeit,neu,-,
bald,mittel,Die Zeit,neu,-,
bis,mittel,Die Zeit,neu,-,
nach,mittel,Die Zeit,neu,-,
nie,mittel,Die Zeit,neu,-,
der Uhrzeiger,schwer,Die Zeit,neu,-,
der große Zeiger,schwer,Die Zeit,neu,-,
der kleine Zeiger,schwer,Die Zeit,neu,-,
die Stunde,schwer,Die Zeit,neu,-,
die Minute,schwer,Die Zeit,neu,-,
die Sekunde,schwer,Die Zeit,neu,-,
um zwei,schwer,Die Zeit,neu,-,
halb vier,schwer,Die Zeit,neu,-,
die Woche,schwer,Die Zeit,neu,-,
der Montag,schwer,Die Zeit,neu,-,
der Dienstag,schwer,Die Zeit,neu,-,
der Mittwoch,schwer,Die Zeit,neu,-,
der Donnerstag,schwer,Die Zeit,neu,-,
der Freitag,schwer,Die Zeit,neu,-,
der Samstag,schwer,Die Zeit,neu,-,
der Sonntag,schwer,Die Zeit,neu,-,
das Wochenende,schwer,Die Zeit,neu,-,
der Feiertag,schwer,Die Zeit,neu,-,
das Datum,schwer,Die Zeit,neu,-,
nachher,schwer,Die Zeit,neu,-,
vorher,schwer,Die Zeit,neu,-,
seit,schwer,Die Zeit,neu,-,
manchmal,schwer,Die Zeit,neu,-,
häufig,schwer,Die Zeit,neu,-,
das Land,leicht,In einem anderen Land,neu,-,
woanders,leicht,In einem anderen Land,neu,-,
die Reise,leicht,In einem anderen Land,neu,-,
das Heimweh,mittel,In einem anderen Land,neu,-,
andere Feste,mittel,In einem anderen Land,neu,-,
anderes Essen,mittel,In einem anderen Land,neu,-,
der Mensch,mittel,In einem anderen Land,neu,-,
komisch,mittel,In einem anderen Land,neu,-,
weggehen,mittel,In einem anderen Land,neu,-,
die Landschaft,schwer,In einem anderen Land,neu,-,
die Gegend,schwer,In einem anderen Land,neu,-,
das Volk,schwer,In einem anderen Land,neu,-,
eine andere Religion,schwer,In einem anderen Land,neu,-,
fremd sein,schwer,In einem anderen Land,neu,-,
gewohnt sein,schwer,In einem anderen Land,neu,-,
gewöhnlich,schwer,In einem anderen Land,neu,-,
ungewöhnlich,schwer,In einem anderen Land,neu,-,
offen,schwer,In einem anderen Land,neu,-,
höflich,schwer,In einem anderen Land,neu,-,
herzlich,schwer,In einem anderen Land,neu,-,
empfangen,schwer,In einem anderen Land,neu,-,
verstehen,schwer,In einem anderen Land,neu,-,
eine andere Sprache,schwer,In einem anderen Land,neu,-,
das Wörterbuch,schwer,In einem anderen Land,neu,-,
das Ausland,schwer,In einem anderen Land,neu,-,
das Aussehen,schwer,In einem anderen Land,neu,-,
der/die Einheimische,schwer,In einem anderen Land,neu,-,
die Regierung,schwer,In einem anderen Land,neu,-,
der Staat,schwer,In einem anderen Land,neu,-,
der Krieg,schwer,In einem anderen Land,neu,-,
der Frieden,schwer,In einem anderen Land,neu,-,
der Mond,leicht,Die Erde und das Weltall,neu,-,
der Stern,leicht,Die Erde und das Weltall,neu,-,
das Weltall,mittel,Die Erde und das Weltall,neu,-,
der Planet,mittel,Die Erde und das Weltall,neu,-,
die Kugel,mittel,Die Erde und das Weltall,neu,-,
der Vollmond,mittel,Die Erde und das Weltall,neu,-,
der Weltraum,mittel,Die Erde und das Weltall,neu,-,
das Raumschiff,mittel,Die Erde und das Weltall,neu,-,
die Rakete,mittel,Die Erde und das Weltall,neu,-,
der Norden,mittel,Die Erde und das Weltall,neu,-,
der Süden,mittel,Die Erde und das Weltall,neu,-,
der Westen,mittel,Die Erde und das Weltall,neu,-,
der Osten,mittel,Die Erde und das Weltall,neu,-,
die Insel,mittel,Die Erde und das Weltall,neu,-,
der Dschungel,mittel,Die Erde und das Weltall,neu,-,
der Urwald,mittel,Die Erde und das Weltall,neu,-,
die Wüste,mittel,Die Erde und das Weltall,neu,-,
der Vulkan,mittel,Die Erde und das Weltall,neu,-,
die Milchstraße,schwer,Die Erde und das Weltall,neu,-,
der Komet,schwer,Die Erde und das Weltall,neu,-,
das Sternbild,schwer,Die Erde und das Weltall,neu,-,
das Sternzeichen,schwer,Die Erde und das Weltall,neu,-,
das Teleskop,schwer,Die Erde und das Weltall,neu,-,
die Sonnenfinsternis,schwer,Die Erde und das Weltall,neu,-,
der Satellit,schwer,Die Erde und das Weltall,neu,-,
die Raumstation,schwer,Die Erde und das Weltall,neu,-,
der Astronaut,schwer,Die Erde und das Weltall,neu,-,
der Raumanzug,schwer,Die Erde und das Weltall,neu,-,
schwerelos,schwer,Die Erde und das Weltall,neu,-,
der Globus,schwer,Die Erde und das Weltall,neu,-,
der Erdteil,schwer,Die Erde und das Weltall,neu,-,
Europa,schwer,Die Erde und das Weltall,neu,-,
Amerika,schwer,Die Erde und das Weltall,neu,-,
Afrika,schwer,Die Erde und das Weltall,neu,-,
Asien,schwer,Die Erde und das Weltall,neu,-,
Australien,schwer,Die Erde und das Weltall,neu,-,
der Ozean,schwer,Die Erde und das Weltall,neu,-,
der Nordpol,schwer,Die Erde und das Weltall,neu,-,
der Südpol,schwer,Die Erde und das Weltall,neu,-,
der Kompass,schwer,Die Erde und das Weltall,neu,-,
das Klima,schwer,Die Erde und das Weltall,neu,-,
das Erdbeben,schwer,Die Erde und das Weltall,neu,-,
die Katastrophe,schwer,Die Erde und das Weltall,neu,-,
hier,leicht,Drunter und drüber,neu,-,
unter,leicht,Drunter und drüber,neu,-,
an,leicht,Drunter und drüber,neu,-,
bei,leicht,Drunter und drüber,neu,-,
ohne,leicht,Drunter und drüber,neu,-,
für,leicht,Drunter und drüber,neu,-,
dort,mittel,Drunter und drüber,neu,-,
von,mittel,Drunter und drüber,neu,-,
zu,mittel,Drunter und drüber,neu,-,
durch,mittel,Drunter und drüber,neu,-,
gegen,mittel,Drunter und drüber,neu,-,
um,mittel,Drunter und drüber,neu,-,
ab,mittel,Drunter und drüber,neu,-,
vor,mittel,Drunter und drüber,neu,-,
hinter,mittel,Drunter und drüber,neu,-,
aus,mittel,Drunter und drüber,neu,-,
über,mittel,Drunter und drüber,neu,-,
unten,mittel,Drunter und drüber,neu,-,
oben,mittel,Drunter und drüber,neu,-,
draußen,mittel,Drunter und drüber,neu,-,
drinnen,mittel,Drunter und drüber,neu,-,
vorne,mittel,Drunter und drüber,neu,-,
an der Seite,mittel,Drunter und drüber,neu,-,
am Rand,mittel,Drunter und drüber,neu,-,
in der Mitte,mittel,Drunter und drüber,neu,-,
auf der Stelle,mittel,Drunter und drüber,neu,-,
eben,schwer,Drunter und drüber,neu,-,
nirgends,schwer,Drunter und drüber,neu,-,
überall,schwer,Drunter und drüber,neu,-,
durcheinander,schwer,Drunter und drüber,neu,-,
an dem Ort,schwer,Drunter und drüber,neu,-,
vier,schwer,Drunter und drüber,neu,-,
fünf,schwer,Drunter und drüber,neu,-,
sechs,schwer,Drunter und drüber,neu,-,
acht,schwer,Drunter und drüber,neu,-,
neun,schwer,Drunter und drüber,neu,-,
zehn,schwer,Drunter und drüber,neu,-,
